steer,throttle,hand_brake,brake
0.699999988079071,0.0,False,0.0
0.699999988079071,0.0,False,0.0
0.699999988079071,0.0,False,0.0
0.699999988079071,0.0,False,0.0
0.699999988079071,0.0,False,0.0
0.699999988079071,0.0,False,0.0
0.699999988079071,0.0,False,0.0
0.699999988079071,0.0,False,0.0
0.699999988079071,0.0,False,0.0
0.699999988079071,0.0,False,0.0
0.699999988079071,0.0,False,0.0
0.699999988079071,0.0,False,0.0
0.699999988079071,0.0,False,0.0
0.699999988079071,0.0,False,0.0
0.699999988079071,0.0,False,0.0
0.699999988079071,0.0,False,0.0
0.699999988079071,0.0,False,0.0
0.699999988079071,0.0,False,0.0
0.699999988079071,0.0,False,0.0
0.699999988079071,0.0,False,0.0
0.699999988079071,0.0,False,0.0
0.699999988079071,0.0,False,0.20000000298023224
0.699999988079071,0.0,False,0.4000000059604645
0.699999988079071,0.0,False,0.6000000238418579
0.699999988079071,0.0,False,0.800000011920929
0.699999988079071,0.0,False,1.0
0.699999988079071,0.0,False,1.0
0.699999988079071,0.0,False,1.0
0.699999988079071,0.0,False,1.0
0.699999988079071,0.0,False,1.0
0.699999988079071,0.0,False,1.0
0.699999988079071,0.0,False,1.0
0.699999988079071,0.0,False,1.0
0.699999988079071,0.0,False,1.0
0.699999988079071,0.0,False,1.0
0.699999988079071,0.0,False,1.0
0.699999988079071,0.0,False,1.0
0.699999988079071,0.0,False,1.0
0.699999988079071,0.0,False,0.0
0.699999988079071,0.0,False,0.0
0.699999988079071,0.0,False,0.0
0.699999988079071,0.0,False,0.0
0.699999988079071,0.0,False,0.20000000298023224
0.699999988079071,0.0,False,0.4000000059604645
0.699999988079071,0.0,False,0.6000000238418579
0.699999988079071,0.0,False,0.0
0.699999988079071,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
-0.0,0.009999999776482582,False,0.0
-0.0,0.019999999552965164,False,0.0
-0.10000000149011612,0.029999999329447746,False,0.0
-0.10000000149011612,0.03999999910593033,False,0.0
-0.10000000149011612,0.05000000074505806,False,0.0
-0.10000000149011612,0.06000000238418579,False,0.0
-0.10000000149011612,0.07000000029802322,False,0.0
-0.20000000298023224,0.07999999821186066,False,0.0
-0.20000000298023224,0.08999999612569809,False,0.0
-0.30000001192092896,0.09999999403953552,False,0.0
-0.30000001192092896,0.10999999195337296,False,0.0
-0.30000001192092896,0.11999998986721039,False,0.0
-0.30000001192092896,0.12999999523162842,False,0.0
-0.30000001192092896,0.14000000059604645,False,0.0
-0.30000001192092896,0.15000000596046448,False,0.0
-0.4000000059604645,0.1600000113248825,False,0.0
-0.4000000059604645,0.17000001668930054,False,0.0
-0.4000000059604645,0.18000002205371857,False,0.0
-0.4000000059604645,0.1900000274181366,False,0.0
-0.4000000059604645,0.20000003278255463,False,0.0
-0.5,0.21000003814697266,False,0.0
-0.5,0.22000004351139069,False,0.0
-0.5,0.23000004887580872,False,0.0
-0.5,0.24000005424022675,False,0.0
-0.5,0.2500000596046448,False,0.0
-0.5,0.2600000500679016,False,0.0
-0.6000000238418579,0.27000004053115845,False,0.0
-0.6000000238418579,0.2800000309944153,False,0.0
-0.6000000238418579,0.2900000214576721,False,0.0
-0.6000000238418579,0.30000001192092896,False,0.0
-0.6000000238418579,0.3100000023841858,False,0.0
-0.699999988079071,0.3199999928474426,False,0.0
-0.699999988079071,0.32999998331069946,False,0.0
-0.699999988079071,0.3399999737739563,False,0.0
-0.699999988079071,0.34999996423721313,False,0.0
-0.699999988079071,0.35999995470046997,False,0.0
-0.699999988079071,0.3699999451637268,False,0.0
-0.699999988079071,0.37999993562698364,False,0.0
-0.699999988079071,0.3899999260902405,False,0.0
-0.699999988079071,0.3999999165534973,False,0.0
-0.699999988079071,0.40999990701675415,False,0.0
-0.699999988079071,0.419999897480011,False,0.0
-0.699999988079071,0.4299998879432678,False,0.0
-0.699999988079071,0.43999987840652466,False,0.0
-0.699999988079071,0.4499998688697815,False,0.0
-0.699999988079071,0.45999985933303833,False,0.0
-0.699999988079071,0.46999984979629517,False,0.0
-0.699999988079071,0.479999840259552,False,0.0
-0.699999988079071,0.48999983072280884,False,0.0
-0.699999988079071,0.4999998211860657,False,0.0
-0.699999988079071,0.5099998116493225,False,0.0
-0.699999988079071,0.5199998021125793,False,0.0
-0.699999988079071,0.5299997925758362,False,0.0
-0.699999988079071,0.539999783039093,False,0.0
-0.699999988079071,0.5499997735023499,False,0.0
-0.699999988079071,0.5599997639656067,False,0.0
-0.699999988079071,0.5699997544288635,False,0.0
-0.699999988079071,0.5799997448921204,False,0.0
-0.699999988079071,0.5899997353553772,False,0.0
-0.699999988079071,0.599999725818634,False,0.0
-0.699999988079071,0.6099997162818909,False,0.0
-0.699999988079071,0.6199997067451477,False,0.0
-0.699999988079071,0.6299996972084045,False,0.0
-0.699999988079071,0.6399996876716614,False,0.0
-0.699999988079071,0.6499996781349182,False,0.0
-0.699999988079071,0.659999668598175,False,0.0
-0.699999988079071,0.6699996590614319,False,0.0
-0.699999988079071,0.6799996495246887,False,0.0
-0.699999988079071,0.6899996399879456,False,0.0
-0.699999988079071,0.6999996304512024,False,0.0
-0.699999988079071,0.7099996209144592,False,0.0
-0.699999988079071,0.7199996113777161,False,0.0
-0.699999988079071,0.7299996018409729,False,0.0
-0.699999988079071,0.7399995923042297,False,0.0
-0.699999988079071,0.7499995827674866,False,0.0
-0.699999988079071,0.7599995732307434,False,0.20000000298023224
-0.699999988079071,0.7699995636940002,False,0.4000000059604645
-0.699999988079071,0.7799995541572571,False,0.6000000238418579
-0.699999988079071,0.7899995446205139,False,0.800000011920929
-0.699999988079071,0.7999995350837708,False,1.0
-0.699999988079071,0.8099995255470276,False,1.0
-0.699999988079071,0.8199995160102844,False,1.0
-0.699999988079071,0.8299995064735413,False,1.0
-0.699999988079071,0.8399994969367981,False,1.0
-0.699999988079071,0.8499994874000549,False,1.0
-0.699999988079071,0.8599994778633118,False,1.0
-0.699999988079071,0.8699994683265686,False,1.0
-0.699999988079071,0.8799994587898254,False,1.0
-0.699999988079071,0.8899994492530823,False,1.0
-0.699999988079071,0.8999994397163391,False,1.0
-0.699999988079071,0.909999430179596,False,1.0
-0.699999988079071,0.9199994206428528,False,1.0
-0.699999988079071,0.9299994111061096,False,1.0
-0.699999988079071,0.9399994015693665,False,1.0
-0.699999988079071,0.9499993920326233,False,1.0
-0.699999988079071,0.9599993824958801,False,1.0
-0.699999988079071,0.969999372959137,False,1.0
-0.699999988079071,0.9799993634223938,False,1.0
-0.699999988079071,0.9899993538856506,False,1.0
-0.699999988079071,0.9999993443489075,False,1.0
-0.699999988079071,1.0,False,1.0
-0.699999988079071,1.0,False,0.0
-0.699999988079071,1.0,False,0.0
-0.699999988079071,1.0,False,0.0
-0.699999988079071,1.0,False,0.0
-0.699999988079071,1.0,False,0.0
-0.699999988079071,1.0,False,0.0
-0.699999988079071,1.0,False,0.0
-0.699999988079071,1.0,False,0.0
-0.699999988079071,1.0,False,0.0
-0.699999988079071,1.0,False,0.0
-0.699999988079071,1.0,False,0.0
-0.699999988079071,1.0,False,0.0
-0.699999988079071,1.0,False,0.0
-0.699999988079071,1.0,False,0.0
-0.699999988079071,1.0,False,0.0
-0.699999988079071,1.0,False,0.20000000298023224
-0.699999988079071,1.0,False,0.4000000059604645
-0.699999988079071,1.0,False,0.6000000238418579
-0.699999988079071,1.0,False,0.800000011920929
-0.699999988079071,1.0,False,1.0
-0.699999988079071,1.0,False,1.0
-0.699999988079071,1.0,False,1.0
-0.699999988079071,1.0,False,1.0
-0.699999988079071,1.0,False,1.0
-0.699999988079071,1.0,False,1.0
-0.699999988079071,1.0,False,1.0
-0.699999988079071,1.0,False,1.0
-0.699999988079071,1.0,False,1.0
-0.699999988079071,1.0,False,1.0
-0.699999988079071,1.0,False,1.0
-0.699999988079071,1.0,False,1.0
-0.699999988079071,1.0,False,1.0
-0.699999988079071,1.0,False,1.0
-0.699999988079071,1.0,False,1.0
-0.699999988079071,1.0,False,1.0
-0.699999988079071,1.0,False,1.0
-0.699999988079071,1.0,False,1.0
-0.699999988079071,1.0,False,1.0
-0.699999988079071,1.0,False,1.0
-0.699999988079071,1.0,False,1.0
-0.699999988079071,1.0,False,1.0
-0.699999988079071,1.0,False,1.0
-0.699999988079071,1.0,False,1.0
-0.699999988079071,1.0,False,1.0
-0.699999988079071,1.0,False,1.0
-0.699999988079071,1.0,False,1.0
-0.699999988079071,1.0,False,1.0
-0.699999988079071,1.0,False,1.0
-0.699999988079071,1.0,False,1.0
-0.699999988079071,1.0,False,1.0
-0.699999988079071,1.0,False,1.0
-0.699999988079071,1.0,False,1.0
-0.699999988079071,1.0,False,1.0
-0.699999988079071,1.0,False,1.0
-0.699999988079071,1.0,False,1.0
-0.699999988079071,1.0,False,1.0
-0.699999988079071,1.0,False,1.0
-0.699999988079071,1.0,False,1.0
-0.699999988079071,1.0,False,1.0
-0.699999988079071,1.0,False,1.0
-0.699999988079071,1.0,False,1.0
-0.699999988079071,1.0,False,1.0
-0.699999988079071,1.0,False,1.0
-0.699999988079071,1.0,False,1.0
0.0,1.0,False,1.0
0.0,1.0,False,1.0
0.0,1.0,False,1.0
0.0,1.0,False,1.0
0.0,1.0,False,1.0
0.0,1.0,False,1.0
0.0,1.0,False,1.0
0.0,1.0,False,1.0
0.0,1.0,False,1.0
0.0,1.0,False,1.0
0.0,1.0,False,1.0
0.0,1.0,False,1.0
0.0,1.0,False,1.0
0.0,1.0,False,1.0
0.0,1.0,False,1.0
0.0,1.0,False,1.0
0.0,1.0,False,1.0
0.0,1.0,False,1.0
-0.0,1.0,False,0.0
-0.0,1.0,False,0.0
-0.10000000149011612,1.0,False,0.0
-0.10000000149011612,1.0,False,0.0
-0.10000000149011612,1.0,False,0.20000000298023224
-0.10000000149011612,1.0,False,0.4000000059604645
-0.10000000149011612,1.0,False,0.6000000238418579
-0.10000000149011612,1.0,False,0.800000011920929
-0.10000000149011612,1.0,False,1.0
-0.20000000298023224,1.0,False,1.0
-0.20000000298023224,1.0,False,1.0
-0.20000000298023224,1.0,False,0.0
-0.20000000298023224,1.0,False,0.0
-0.20000000298023224,1.0,False,0.0
-0.20000000298023224,1.0,False,0.0
-0.30000001192092896,1.0,False,0.0
-0.30000001192092896,1.0,False,0.0
-0.30000001192092896,1.0,False,0.0
-0.30000001192092896,1.0,False,0.0
-0.30000001192092896,1.0,False,0.0
-0.30000001192092896,1.0,False,0.0
-0.4000000059604645,1.0,False,0.0
-0.4000000059604645,1.0,False,0.0
-0.4000000059604645,1.0,False,0.0
-0.4000000059604645,1.0,False,0.0
-0.4000000059604645,1.0,False,0.0
-0.4000000059604645,1.0,False,0.0
-0.5,1.0,False,0.0
-0.5,1.0,False,0.0
-0.5,1.0,False,0.0
-0.5,1.0,False,0.0
-0.6000000238418579,1.0,False,0.0
-0.6000000238418579,1.0,False,0.0
-0.6000000238418579,1.0,False,0.0
-0.6000000238418579,1.0,False,0.0
-0.6000000238418579,1.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.10000000149011612,0.0,False,0.0
0.10000000149011612,0.0,False,0.20000000298023224
0.10000000149011612,0.0,False,0.4000000059604645
0.10000000149011612,0.0,False,0.6000000238418579
0.10000000149011612,0.0,False,0.800000011920929
0.10000000149011612,0.0,False,1.0
0.10000000149011612,0.0,False,1.0
0.20000000298023224,0.0,False,1.0
0.20000000298023224,0.0,False,1.0
0.20000000298023224,0.0,False,1.0
0.20000000298023224,0.0,False,1.0
0.20000000298023224,0.0,False,1.0
0.30000001192092896,0.0,False,1.0
0.30000001192092896,0.0,False,1.0
0.30000001192092896,0.0,False,1.0
0.30000001192092896,0.0,False,1.0
0.30000001192092896,0.0,False,1.0
0.4000000059604645,0.0,False,1.0
0.4000000059604645,0.0,False,1.0
0.4000000059604645,0.0,False,1.0
0.4000000059604645,0.0,False,0.0
0.4000000059604645,0.0,False,0.0
0.5,0.0,False,0.0
0.5,0.0,False,0.0
0.5,0.0,False,0.0
0.5,0.0,False,0.0
0.6000000238418579,0.009999999776482582,False,0.0
0.6000000238418579,0.019999999552965164,False,0.0
0.6000000238418579,0.029999999329447746,False,0.0
0.6000000238418579,0.03999999910593033,False,0.0
0.699999988079071,0.05000000074505806,False,0.0
0.699999988079071,0.06000000238418579,False,0.0
0.699999988079071,0.07000000029802322,False,0.0
0.699999988079071,0.07999999821186066,False,0.0
0.699999988079071,0.08999999612569809,False,0.0
0.699999988079071,0.09999999403953552,False,0.0
0.699999988079071,0.0,False,0.0
0.699999988079071,0.0,False,0.0
0.699999988079071,0.0,False,0.0
0.699999988079071,0.0,False,0.0
0.699999988079071,0.0,False,0.0
0.699999988079071,0.009999999776482582,False,0.0
0.699999988079071,0.019999999552965164,False,0.0
0.699999988079071,0.029999999329447746,False,0.0
0.699999988079071,0.03999999910593033,False,0.0
0.699999988079071,0.05000000074505806,False,0.0
0.699999988079071,0.06000000238418579,False,0.0
0.699999988079071,0.07000000029802322,False,0.0
0.699999988079071,0.07999999821186066,False,0.0
0.699999988079071,0.08999999612569809,False,0.0
0.699999988079071,0.09999999403953552,False,0.0
0.699999988079071,0.10999999195337296,False,0.0
0.699999988079071,0.11999998986721039,False,0.0
0.699999988079071,0.12999999523162842,False,0.0
0.699999988079071,0.14000000059604645,False,0.0
0.699999988079071,0.15000000596046448,False,0.0
0.699999988079071,0.1600000113248825,False,0.0
0.699999988079071,0.17000001668930054,False,0.0
0.699999988079071,0.18000002205371857,False,0.0
0.699999988079071,0.1900000274181366,False,0.0
0.699999988079071,0.20000003278255463,False,0.0
0.699999988079071,0.21000003814697266,False,0.0
0.699999988079071,0.22000004351139069,False,0.0
0.699999988079071,0.23000004887580872,False,0.0
0.699999988079071,0.24000005424022675,False,0.0
0.699999988079071,0.2500000596046448,False,0.0
0.699999988079071,0.2600000500679016,False,0.0
0.699999988079071,0.27000004053115845,False,0.0
0.699999988079071,0.2800000309944153,False,0.0
0.699999988079071,0.2900000214576721,False,0.0
0.699999988079071,0.30000001192092896,False,0.0
0.699999988079071,0.3100000023841858,False,0.0
0.699999988079071,0.3199999928474426,False,0.0
0.699999988079071,0.32999998331069946,False,0.0
0.699999988079071,0.3399999737739563,False,0.0
0.699999988079071,0.34999996423721313,False,0.0
0.699999988079071,0.35999995470046997,False,0.0
0.699999988079071,0.3699999451637268,False,0.0
0.699999988079071,0.37999993562698364,False,0.0
0.699999988079071,0.3899999260902405,False,0.0
0.699999988079071,0.3999999165534973,False,0.0
0.699999988079071,0.40999990701675415,False,0.0
0.699999988079071,0.419999897480011,False,0.0
0.699999988079071,0.4299998879432678,False,0.0
0.699999988079071,0.43999987840652466,False,0.0
0.699999988079071,0.4499998688697815,False,0.0
0.699999988079071,0.45999985933303833,False,0.0
0.699999988079071,0.46999984979629517,False,0.0
0.699999988079071,0.479999840259552,False,0.0
0.699999988079071,0.48999983072280884,False,0.0
0.699999988079071,0.4999998211860657,False,0.0
0.699999988079071,0.5099998116493225,False,0.0
0.699999988079071,0.5199998021125793,False,0.0
0.699999988079071,0.5299997925758362,False,0.0
0.699999988079071,0.539999783039093,False,0.0
0.699999988079071,0.5499997735023499,False,0.0
0.699999988079071,0.5599997639656067,False,0.0
0.699999988079071,0.5699997544288635,False,0.0
0.699999988079071,0.5799997448921204,False,0.0
0.699999988079071,0.5899997353553772,False,0.0
0.699999988079071,0.599999725818634,False,0.0
0.699999988079071,0.6099997162818909,False,0.0
0.699999988079071,0.6199997067451477,False,0.0
0.699999988079071,0.6299996972084045,False,0.0
0.699999988079071,0.6399996876716614,False,0.0
0.699999988079071,0.6499996781349182,False,0.0
0.699999988079071,0.659999668598175,False,0.0
0.699999988079071,0.6699996590614319,False,0.0
0.699999988079071,0.6799996495246887,False,0.0
0.699999988079071,0.6899996399879456,False,0.0
0.699999988079071,0.6999996304512024,False,0.0
0.699999988079071,0.7099996209144592,False,0.0
0.699999988079071,0.7199996113777161,False,0.0
0.699999988079071,0.7299996018409729,False,0.0
0.699999988079071,0.7399995923042297,False,0.0
0.699999988079071,0.7499995827674866,False,0.0
0.699999988079071,0.7599995732307434,False,0.0
0.699999988079071,0.7699995636940002,False,0.0
0.699999988079071,0.7799995541572571,False,0.0
0.699999988079071,0.7899995446205139,False,0.0
0.699999988079071,0.7999995350837708,False,0.0
0.699999988079071,0.8099995255470276,False,0.0
0.699999988079071,0.8199995160102844,False,0.0
0.699999988079071,0.8299995064735413,False,0.0
0.699999988079071,0.8399994969367981,False,0.0
0.699999988079071,0.8499994874000549,False,0.0
0.699999988079071,0.8599994778633118,False,0.0
0.699999988079071,0.8699994683265686,False,0.0
0.699999988079071,0.8799994587898254,False,0.0
0.699999988079071,0.8899994492530823,False,0.0
0.699999988079071,0.8999994397163391,False,0.0
0.699999988079071,0.909999430179596,False,0.0
0.699999988079071,0.9199994206428528,False,0.0
0.699999988079071,0.9299994111061096,False,0.0
0.699999988079071,0.9399994015693665,False,0.0
0.699999988079071,0.9499993920326233,False,0.0
0.699999988079071,0.9599993824958801,False,0.0
0.699999988079071,0.969999372959137,False,0.0
0.699999988079071,0.9799993634223938,False,0.0
0.699999988079071,0.9899993538856506,False,0.0
0.699999988079071,0.9999993443489075,False,0.0
0.699999988079071,1.0,False,0.0
0.699999988079071,1.0,False,0.0
0.699999988079071,1.0,False,0.0
0.699999988079071,1.0,False,0.0
0.699999988079071,1.0,False,0.0
0.699999988079071,1.0,False,0.0
0.699999988079071,1.0,False,0.0
0.699999988079071,1.0,False,0.0
0.699999988079071,1.0,False,0.0
0.699999988079071,0.0,False,0.0
0.0,0.009999999776482582,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.009999999776482582,False,0.0
0.0,0.019999999552965164,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
0.0,0.0,False,0.0
